sort_date,latest_verified_time,stock,company,relationship_type,evidence_summary,first_or_latest_detail,source_url,confidence,notes
2026-06-02,"2026-06-02 10:30 GMT+8",MRVL,Marvell Technology Inc.,"Reported Jensen mention; NVIDIA corporate investment","DCD and TipRanks reported Jensen Huang appeared with Marvell CEO Matt Murphy and described Marvell as the next trillion-dollar company. SEC exhibit confirms NVIDIA invested $2B in Marvell on 2026-03-31.","Investment not shown as common stock in NVIDIA Q1 2026 13F table.","https://www.sec.gov/Archives/edgar/data/1835632/000119312526134462/d113606dex991.htm","High for investment; medium-high for reported live comment","Stage comment not yet checked against official NVIDIA transcript."
2026-06-01,"2026-06-01 11:00 Taipei Time",CRWV,CoreWeave Inc.,"Jensen keynote recap mention; NVIDIA corporate holding/investment","NVIDIA GTC Taipei recap says Huang discussed work with partners including CoreWeave. Q1 2026 13F shows 47,213,353 shares. NVIDIA announced $2B CoreWeave Class A stock purchase on 2026-01-26.","First appears in 2025 Q1 13F; still held in 2026 Q1 13F.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Corporate investment, not Jensen personal investment."
2026-06-01,"2026-06-01 11:00 Taipei Time",NBIS,Nebius Group N.V.,"Jensen keynote recap mention; NVIDIA corporate holding/investment","NVIDIA GTC Taipei recap names Nebius among AI factory partners. Q1 2026 13F shows 1,190,476 shares. NVIDIA announced it would invest $2B on 2026-03-11.","First appears in 2024 Q4 13F; still held in 2026 Q1 13F.","https://nvidianews.nvidia.com/news/nvidia-and-nebius-partner-to-scale-full-stack-ai-cloud","High","Corporate investment, not Jensen personal investment."
2026-06-01,"2026-06-01 11:00 Taipei Time",035420.KS,"NAVER Corp. / NAVER Cloud","Jensen keynote recap mention","NVIDIA GTC Taipei recap names NAVER Cloud among partners in the AI factory buildout discussion.","Listed stock is NAVER Corp., the parent.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Mention only; no NVIDIA investment found in checked records."
2026-06-01,"2026-06-01 11:00 Taipei Time",ISAT.JK,Indosat Ooredoo Hutchison,"Jensen keynote recap mention","NVIDIA GTC Taipei recap names Indosat among partners in the AI factory buildout discussion.","Indosat is listed in Indonesia as ISAT.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Mention only; no NVIDIA investment found in checked records."
2026-06-01,"2026-06-01 11:00 Taipei Time",CDNS,Cadence Design Systems Inc.,"Jensen keynote recap mention","NVIDIA GTC Taipei recap says Huang highlighted NVIDIA's work with Cadence on chip-design agents.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","No NVIDIA 13F holding in checked filings."
2026-06-01,"2026-06-01 11:00 Taipei Time",MSFT,Microsoft Corp.,"Jensen keynote recap mention","NVIDIA GTC Taipei recap describes Huang saying NVIDIA and Microsoft are reinventing the PC for personal agents.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","No NVIDIA 13F holding in checked filings."
2026-06-01,"2026-06-01 11:00 Taipei Time",2454.TW,MediaTek Inc.,"Jensen keynote recap mention","NVIDIA GTC Taipei recap states RTX Spark was built with MediaTek and runs Microsoft Windows.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","No NVIDIA 13F holding in checked filings."
2026-06-01,"2026-06-01 11:00 Taipei Time",ADBE,Adobe Inc.,"Jensen keynote recap mention","NVIDIA GTC Taipei recap says Adobe is rearchitecting Photoshop and Premiere for RTX Spark.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","No NVIDIA 13F holding in checked filings."
2026-06-01,"2026-06-01 / 2026-05-31 official GTC Taipei material",DELL,Dell Technologies Inc.,"Official NVIDIA event mention","NVIDIA GTC Taipei material names Dell among DGX Station system partners.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Official event mention; not necessarily direct Jensen wording."
2026-06-01,"2026-06-01 / 2026-05-31 official GTC Taipei material",HPQ,HP Inc.,"Official NVIDIA event mention","NVIDIA GTC Taipei material names HP among DGX Station system partners.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Official event mention; not necessarily direct Jensen wording."
2026-06-01,"2026-06-01 / 2026-05-31 official GTC Taipei material",SMCI,Super Micro Computer Inc.,"Official NVIDIA event mention","NVIDIA GTC Taipei material names Supermicro among DGX Station system partners.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Official event mention; not necessarily direct Jensen wording."
2026-06-01,"2026-06-01 / 2026-05-31 official GTC Taipei material",2357.TW,ASUSTeK Computer Inc.,"Official NVIDIA event mention","NVIDIA GTC Taipei material names ASUS among DGX Station system partners.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Official event mention; not necessarily direct Jensen wording."
2026-06-01,"2026-06-01 / 2026-05-31 official GTC Taipei material",2376.TW,GIGABYTE Technology Co.,"Official NVIDIA event mention","NVIDIA GTC Taipei material names GIGABYTE among DGX Station system partners.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Official event mention; not necessarily direct Jensen wording."
2026-06-01,"2026-06-01 / 2026-05-31 official GTC Taipei material",2377.TW,"Micro-Star International / MSI","Official NVIDIA event mention","NVIDIA GTC Taipei material names MSI among DGX Station system partners.","Mention only.","https://blogs.nvidia.com/blog/nvidia-gtc-taipei-computex-2026-news/","High","Official event mention; not necessarily direct Jensen wording."
2026-05-31,"2026-05-31",TSM / 2330.TW,Taiwan Semiconductor Manufacturing Co.,"Jensen quote; official NVIDIA press release mention","NVIDIA and TSMC announced AI-in-fab collaboration; release includes a Jensen Huang quote on TSMC bringing NVIDIA AI into fabs.","Mention only.","https://nvidianews.nvidia.com/news/nvidia-and-tsmc-bring-ai-into-fabs-to-advance-semiconductor-design-and-manufacturing","High","No NVIDIA 13F holding in checked filings."
2026-05-31,"2026-05-31",2317.TW / HNHPF,Hon Hai Precision / Foxconn,"Official NVIDIA press release mention","NVIDIA announced healthcare and robotaxi collaborations involving Foxconn.","Mention only.","https://nvidianews.nvidia.com/news/nvidia-foxconn-and-taiwan-medical-centers-bring-agentic-and-physical-ai-to-healthy-taiwan","High","Official mention; not classified as Jensen personal investment."
2026-05-31,"2026-05-31",2382.TW,"Quanta Computer / QCT","Official NVIDIA event mention","NVIDIA Taiwan ecosystem article says QCT is using Omniverse-based digital twins and NVIDIA technologies.","Mention only.","https://blogs.nvidia.com/blog/taiwan-ecosystem-ai-infrastructure/","High","Listed parent is Quanta Computer."
2026-05-31,"2026-05-31",3231.TW,Wistron Corp.,"Official NVIDIA event mention","NVIDIA Taiwan ecosystem article describes Wistron using Omniverse DSX, PhysicsNeMo and Cadence Reality DC Design.","Mention only.","https://blogs.nvidia.com/blog/taiwan-ecosystem-ai-infrastructure/","High","No NVIDIA 13F holding in checked filings."
2026-05-31,"2026-05-31",4938.TW,Pegatron Corp.,"Official NVIDIA event mention","NVIDIA Taiwan ecosystem article describes Pegatron adopting Omniverse DSX and NVIDIA physical AI tools.","Mention only.","https://blogs.nvidia.com/blog/taiwan-ecosystem-ai-infrastructure/","High","No NVIDIA 13F holding in checked filings."
2026-05-31,"2026-05-31",2356.TW,Inventec Corp.,"Official NVIDIA event mention","NVIDIA Taiwan ecosystem article describes Inventec using NVIDIA's defect-image generation agent skill.","Mention only.","https://blogs.nvidia.com/blog/taiwan-ecosystem-ai-infrastructure/","High","No NVIDIA 13F holding in checked filings."
